Geo Point;Geo Shape;FCsubtype;inspireId;beginLifes;F_CODE;ICC;TFC;NAMN1;NAMN2;NAMA1;NAMA2;NLN1;NLN2;TUC;RStationID
41.999007499999855,43.601069999999766;"{""coordinates"": [43.601069999999766, 41.999007499999855], ""type"": ""Point""}";1;_EG.EGM.RailrdC:6b733341-124d-4ae0-9114-995dade64b;2015-10-26;AQ125;GE;15;ხაშური;N_A;Khashuri;N_A;GEO;N_A;26;N.GE.RAILRDC.000215
62.553514499999835,24.06359249999977;"{""coordinates"": [24.06359249999977, 62.553514499999835], ""type"": ""Point""}";1;_EG.EGM.RailrdC:92b2c756-a068-4173-962f-7d1c5737ec;2015-10-26;AQ125;FI;15;Ähtäri;N_A;Ahtari;N_A;FIN;N_A;26;N.FI.RAILRDC.000141
60.86349,28.304559499999783;"{""coordinates"": [28.304559499999783, 60.86349], ""type"": ""Point""}";1;_EG.EGM.RailrdC:8711fbd9-2e7d-472b-b76e-042514f852;2015-10-26;AQ125;FI;15;Vainikkala;N_A;Vainikkala;N_A;FIN;N_A;45;N.FI.RAILRDC.000212
47.99484,-4.093049000000207;"{""coordinates"": [-4.093049000000207, 47.99484], ""type"": ""Point""}";1;_EG.EGM.RailrdC:6da0f4bb-493f-4685-aae5-8aa68dc0e4;2015-10-26;AQ125;FR;15;Quimper;N_A;Quimper;N_A;FRE;N_A;45;N.FR.RAILRDC.000528
48.43647249999983,1.452894999999813;"{""coordinates"": [1.452894999999813, 48.43647249999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:243ab99a-0853-4c5b-ab6c-aac2d077e3;2015-10-26;AQ125;FR;15;Lucé;N_A;Luce;N_A;FRE;N_A;26;N.FR.RAILRDC.002662
48.10829099999984,13.152687499999784;"{""coordinates"": [13.152687499999784, 48.10829099999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:b8e88e55-ccf7-45aa-a3d0-be491a7334;2015-10-26;AQ125;AT;15;Mattighofen;N_A;Mattighofen;N_A;GER;N_A;45;N.AT.RAILRDC.000100
52.25121899999984,13.922829999999777;"{""coordinates"": [13.922829999999777, 52.25121899999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:52b72042-1125-4118-a90d-0a0d14b747;2015-10-26;AQ125;DE;15;Storkow (Mark);N_A;Storkow (Mark);N_A;GER;N_A;45;N.DE.RAILRDC.003158
51.54970299999985,15.446876999999771;"{""coordinates"": [15.446876999999771, 51.54970299999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:7f5dd3aa-bfca-4e4c-9226-84d5f2bc79;2015-10-26;AQ125;PL;15;Małomice;N_A;Malomice;N_A;POL;N_A;45;N.PL.RAILRDC.000798
51.52595549999984,17.295327999999785;"{""coordinates"": [17.295327999999785, 51.52595549999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:28fa2696-e2da-4a19-bc08-9addf761c6;2015-10-26;AQ125;PL;15;Milicz;N_A;Milicz;N_A;POL;N_A;45;N.PL.RAILRDC.000814
49.80700099999984,18.59669999999977;"{""coordinates"": [18.59669999999977, 49.80700099999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:7d358fa6-ac1b-48ef-873f-974c4f6d33;2015-10-26;AQ125;PL;15;Pogwizdów;N_A;Pogwizdow;N_A;POL;N_A;26;N.PL.RAILRDC.001084
38.969336999999854,-0.584740500000208;"{""coordinates"": [-0.584740500000208, 38.969336999999854], ""type"": ""Point""}";1;_EG.EGM.RailrdC:7a845b64-170f-40b2-9d31-96d9c229b9;2015-10-26;AQ125;ES;15;Estación FF.CC. de L'Alcúdia de Crespins;N_A;Estacion FF.CC. de L'Alcudia de Crespins;N_A;SPA;N_A;45;N.ES.RAILRDC.000228
50.45675699999984,4.826699999999789;"{""coordinates"": [4.826699999999789, 50.45675699999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:36cbfbe0-4792-4e99-b5e5-4224e46b5b;2015-10-26;AQ125;BE;32;Ronet;N_A;Ronet;N_A;FRE;N_A;26;N.BE.RAILRDC.000341
46.00780149999986,22.23264599999979;"{""coordinates"": [22.23264599999979, 46.00780149999986], ""type"": ""Point""}";1;_EG.EGM.RailrdC:945cb7f3-eebc-4ebf-9e33-49d1821a1b;2015-10-26;AQ125;RO;15;Săvârşin;N_A;Savarsin;N_A;RUM;N_A;45;N.RO.RAILRDC.000487
59.27921449999982,18.281305999999773;"{""coordinates"": [18.281305999999773, 59.27921449999982], ""type"": ""Point""}";1;_EG.EGM.RailrdC:64df4161-96cb-41e5-afec-68113ad312;2015-10-26;AQ125;SE;15;Tattby;N_A;Tattby;N_A;SWE;N_A;45;N.SE.RAILRDC.00269
51.459456999999844,3.595195499999789;"{""coordinates"": [3.595195499999789, 51.459456999999844], ""type"": ""Point""}";1;_EG.EGM.RailrdC:e29b71ab-f927-451c-aa4f-66ef4d7196;2015-10-26;AQ125;NL;32;Vlissingen en Souburg;N_A;Vlissingen en Souburg;N_A;DUT;N_A;26;N.NL.RAILRDC.000374
59.55858549999982,9.268224999999802;"{""coordinates"": [9.268224999999802, 59.55858549999982], ""type"": ""Point""}";1;_EG.EGM.RailrdC:f6e0aca5-7e70-4314-9115-ebf353a218;2015-10-26;AQ125;NO;0;Notodden;N_A;Notodden;N_A;NOR;N_A;0;N.NO.RAILRDC.00053
47.862381499999856,16.176691999999775;"{""coordinates"": [16.176691999999775, 47.862381499999856], ""type"": ""Point""}";1;_EG.EGM.RailrdC:3f282aac-ad13-42ea-a749-a8aa9b706d;2015-10-26;AQ125;AT;15;Wöllersdorf;N_A;Woellersdorf;N_A;GER;N_A;45;N.AT.RAILRDC.000821
52.51579449999982,1.023855999999796;"{""coordinates"": [1.023855999999796, 52.51579449999982], ""type"": ""Point""}";1;_EG.EGM.RailrdC:112b80c0-3cfb-4ba0-a7bc-d85fb763fc;2015-10-26;AQ125;GB;15;Attleborough Station;N_A;Attleborough Station;N_A;ENG;N_A;45;N.GB.RAILRDC.000144
48.40386949999984,12.748147499999787;"{""coordinates"": [12.748147499999787, 48.40386949999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:cccca15e-7b74-4e02-b0ca-eae5e66117;2015-10-26;AQ125;DE;15;Eggenfelden;N_A;Eggenfelden;N_A;GER;N_A;45;N.DE.RAILRDC.000165
52.79157599999985,8.644387499999794;"{""coordinates"": [8.644387499999794, 52.79157599999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:9f86c180-20c2-4b23-999a-9b08fbad16;2015-10-26;AQ125;DE;15;Twistringen;N_A;Twistringen;N_A;GER;N_A;45;N.DE.RAILRDC.000681
50.72047149999983,15.161051499999786;"{""coordinates"": [15.161051499999786, 50.72047149999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:f8df7752-df2b-408c-a3e1-1a1c7e4b39;2015-10-26;AQ125;CZ;15;Jablonec nad Nisou;N_A;Jablonec nad Nisou;N_A;CZE;N_A;45;N.CZ.RAILRDC.000004
57.18300749999983,26.76574299999976;"{""coordinates"": [26.76574299999976, 57.18300749999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:6a4c3ec5-53c4-47f6-8c27-3321a79ddf;2015-10-26;AQ125;LV;31;Gulbene;N_A;Gulbene;N_A;LAV;N_A;45;N.LV.RAILRDC.000027
38.71516549999984,-9.142867500000193;"{""coordinates"": [-9.142867500000193, 38.71516549999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:fb21e94b-c10b-4c8f-b17c-ddee35c3fa;2015-10-26;AQ125;PT;15;Lisboa-Rossio;N_A;Lisboa-Rossio;N_A;POR;N_A;26;N.PT.RAILRDC.000298
56.97233299999982,9.857445499999784;"{""coordinates"": [9.857445499999784, 56.97233299999982], ""type"": ""Point""}";1;_EG.EGM.RailrdC:95e9df09-05d3-4d65-a49b-71aaad3f67;2015-10-26;AQ125;DK;15;Svenstrup Jylland;N_A;Svenstrup Jylland;N_A;DAN;N_A;26;N.DK.RAILRDC.00190
47.99493799999985,23.70223299999978;"{""coordinates"": [23.70223299999978, 47.99493799999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:428db034-7893-4455-b762-b93bca929e;2012-01-01;AQ125;UA;0;Тересва;N_A;Teresva;N_A;UKR;N_A;0;N.UA.RAILRDC.000198
41.78824499999985,21.701701999999784;"{""coordinates"": [21.701701999999784, 41.78824499999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:21bd7585-1a6d-4227-aa7a-18cc74fbe1;2014-01-20;AQ125;MK;15;Рајко Жинзифов;N_A;Rajko Zhinzifov;N_A;MKD;N_A;45;N.MK.RAILRDC.0000014
41.79920899999985,21.882425499999783;"{""coordinates"": [21.882425499999783, 41.79920899999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:a4e36046-8a3c-4541-8074-bd6b6048ee;2014-01-20;AQ125;MK;15;Тошо Арсов;N_A;Tosho Arsov;N_A;MKD;N_A;45;N.MK.RAILRDC.0000044
43.52052199999986,13.252058499999775;"{""coordinates"": [13.252058499999775, 43.52052199999986], ""type"": ""Point""}";1;_EG.EGM.RailrdC:7a9fea21-c0b9-4e61-a327-7e81702485;2015-10-26;AQ125;IT;15;Jesi;N_A;Jesi;N_A;ITA;N_A;26;N.IT.RAILRDC.000460
47.33881199999985,0.6528174999997991;"{""coordinates"": [0.6528174999997991, 47.33881199999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:c96d40e5-765c-4bba-86af-deac1fd216;2015-10-26;AQ125;FR;15;La Douzillère;N_A;La Douzillere;N_A;FRE;N_A;26;N.FR.RAILRDC.002099
53.03270549999985,5.650953499999787;"{""coordinates"": [5.650953499999787, 53.03270549999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:3508c338-2573-40d8-ae60-697123ae34;2015-10-26;AQ125;NL;15;Sneek;N_A;Sneek;N_A;DUT;N_A;26;N.NL.RAILRDC.000131
47.190289499999835,14.749422499999781;"{""coordinates"": [14.749422499999781, 47.190289499999835], ""type"": ""Point""}";1;_EG.EGM.RailrdC:7d6cf2e4-0df0-4bde-b237-495828bf02;2015-10-26;AQ125;AT;15;Zeltweg;N_A;Zeltweg;N_A;GER;N_A;45;N.AT.RAILRDC.000065
50.882026499999846,18.42511;"{""coordinates"": [18.42511, 50.882026499999846], ""type"": ""Point""}";1;_EG.EGM.RailrdC:487922f4-b80c-4892-b672-ccd15ac96b;2015-10-26;AQ125;PL;15;Olesno Śląskie;N_A;Olesno Slaskie;N_A;POL;N_A;45;N.PL.RAILRDC.000878
52.043341499999855,5.668201999999809;"{""coordinates"": [5.668201999999809, 52.043341499999855], ""type"": ""Point""}";1;_EG.EGM.RailrdC:ef2829c7-9234-4003-ac39-4abc5db51f;2015-10-26;AQ125;NL;32;Ede Centrum;N_A;Ede Centrum;N_A;DUT;N_A;26;N.NL.RAILRDC.000263
46.736657499999836,21.402566999999777;"{""coordinates"": [21.402566999999777, 46.736657499999836], ""type"": ""Point""}";1;_EG.EGM.RailrdC:887ca2ca-852b-4e21-abeb-cb53732665;2015-10-26;AQ125;HU;32;Sarkad;N_A;Sarkad;N_A;HUN;N_A;26;N.HU.RAILRDC.000650
51.27442349999984,18.333875999999776;"{""coordinates"": [18.333875999999776, 51.27442349999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:6e962068-7679-4a65-8a1b-c2f087aeb8;2015-10-26;AQ125;PL;15;Czastary;N_A;Czastary;N_A;POL;N_A;45;N.PL.RAILRDC.000349
51.596025999999846,16.181880999999777;"{""coordinates"": [16.181880999999777, 51.596025999999846], ""type"": ""Point""}";1;_EG.EGM.RailrdC:4b8f7c08-c85a-47f8-aa92-99458fd63e;2015-10-26;AQ125;PL;15;Grębocice;N_A;Grebocice;N_A;POL;N_A;45;N.PL.RAILRDC.000788
51.14397749999983,12.648680999999783;"{""coordinates"": [12.648680999999783, 51.14397749999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:911da70a-ea7e-4e6e-9e93-62a1dab27a;2015-10-26;AQ125;DE;15;Bad Lausick;N_A;Bad Lausick;N_A;GER;N_A;45;N.DE.RAILRDC.000177
50.714893999999845,4.383381499999786;"{""coordinates"": [4.383381499999786, 50.714893999999845], ""type"": ""Point""}";1;_EG.EGM.RailrdC:761bca83-6d66-426e-a349-a18af7c1e2;2015-10-26;AQ125;BE;15;Waterloo;N_A;Waterloo;N_A;FRE;N_A;45;N.BE.RAILRDC.000119
52.03415549999983,5.168922999999808;"{""coordinates"": [5.168922999999808, 52.03415549999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:f77e7652-8a93-407e-9f1a-273b222565;2015-10-26;AQ125;NL;32;Houten;N_A;Houten;N_A;DUT;N_A;26;N.NL.RAILRDC.000265
42.01260399999983,24.873331999999778;"{""coordinates"": [24.873331999999778, 42.01260399999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:5f159d1c-d0d8-49ab-bd9e-f5866dbb62;2012-01-01;AQ125;BG;0;Асеновград;N_A;Asenovgrad;N_A;BUL;N_A;0;N.BG.RAILRDC.000282
46.39122999999984,23.804539999999772;"{""coordinates"": [23.804539999999772, 46.39122999999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:2a30fa2a-61e4-4231-936e-a4671568c6;2015-10-26;AQ125;RO;15;Unirea;N_A;Unirea;N_A;RUM;N_A;45;N.RO.RAILRDC.000024
51.43485849999985,-3.173661500000207;"{""coordinates"": [-3.173661500000207, 51.43485849999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:e812cb82-707e-4c36-9aa3-ba74d9c4c4;2015-10-26;AQ125;GB;31;Penarth Station;N_A;Penarth Station;N_A;ENG;N_A;45;N.GB.RAILRDC.000867
48.80961799999986,2.135494999999793;"{""coordinates"": [2.135494999999793, 48.80961799999986], ""type"": ""Point""}";1;_EG.EGM.RailrdC:888223ad-c6e3-424b-83b9-b55a8377a3;2015-10-26;AQ125;FR;15;Versailles-Rive Droite;N_A;Versailles-Rive Droite;N_A;FRE;N_A;26;N.FR.RAILRDC.000425
53.63529649999984,15.626481999999783;"{""coordinates"": [15.626481999999783, 53.63529649999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:f281e76a-9450-424f-832f-80aaff7ae5;2015-10-26;AQ125;PL;15;Łobez;N_A;Lobez;N_A;POL;N_A;45;N.PL.RAILRDC.000464
50.97410549999984,16.35879849999978;"{""coordinates"": [16.35879849999978, 50.97410549999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:e9e547c3-b812-4f04-b307-83f4598d7c;2015-10-26;AQ125;PL;15;Strzegom;N_A;Strzegom;N_A;POL;N_A;45;N.PL.RAILRDC.000278
50.54826399999985,3.4949235;"{""coordinates"": [3.4949235, 50.54826399999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:5dcb6c93-379b-48e6-a0e5-4f899135b0;2015-10-26;AQ125;BE;32;Maubray;N_A;Maubray;N_A;FRE;N_A;26;N.BE.RAILRDC.000505
50.15759549999984,14.755053499999773;"{""coordinates"": [14.755053499999773, 50.15759549999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:56ba47b1-303e-4826-82fb-3489c5e68c;2015-10-26;AQ125;CZ;15;Čelákovice;N_A;Celakovice;N_A;CZE;N_A;45;N.CZ.RAILRDC.000105
59.36904499999983,16.50612799999979;"{""coordinates"": [16.50612799999979, 59.36904499999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:c9042e6f-fcbf-4fe3-a055-276690c901;2015-10-26;AQ125;SE;15;Eskilstuna Central;N_A;Eskilstuna Central;N_A;SWE;N_A;45;N.SE.RAILRDC.00495
49.668914999999856,19.379617499999767;"{""coordinates"": [19.379617499999767, 49.668914999999856], ""type"": ""Point""}";1;_EG.EGM.RailrdC:447b6571-242a-4cab-aa3e-65f4af2517;2015-10-26;AQ125;PL;15;Paweł Wielki;N_A;Pawel Wielki;N_A;POL;N_A;26;N.PL.RAILRDC.000302
47.132479999999845,24.483239999999764;"{""coordinates"": [24.483239999999764, 47.132479999999845], ""type"": ""Point""}";1;_EG.EGM.RailrdC:a4ae7f00-e6e1-49b1-ba95-af1047daca;2015-10-26;AQ125;RO;15;Bistriţa;N_A;Bistrita;N_A;RUM;N_A;45;N.RO.RAILRDC.000285
53.59905899999984,-2.837219000000204;"{""coordinates"": [-2.837219000000204, 53.59905899999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:e8e757be-9637-4593-8c6c-56ae80019c;2015-10-26;AQ125;GB;15;Burscough Junction;N_A;Burscough Junction;N_A;ENG;N_A;45;N.GB.RAILRDC.000325
48.60655249999984,2.30208349999981;"{""coordinates"": [2.30208349999981, 48.60655249999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:8af8da02-45e3-4368-8104-15339a82d6;2015-10-26;AQ125;FR;15;Brétigny;N_A;Bretigny;N_A;FRE;N_A;45;N.FR.RAILRDC.000484
45.39179049999984,4.286526499999809;"{""coordinates"": [4.286526499999809, 45.39179049999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:ce2be0f2-5be3-42dc-9c46-baa33eb9d1;2015-10-26;AQ125;FR;15;Firminy;N_A;Firminy;N_A;FRE;N_A;26;N.FR.RAILRDC.000010
47.04193549999985,16.085308499999794;"{""coordinates"": [16.085308499999794, 47.04193549999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:cb0faa7c-b8d0-480f-b5b9-98669a1c1d;2015-10-26;AQ125;AT;15;Fürstenfeld;N_A;Fuerstenfeld;N_A;GER;N_A;45;N.AT.RAILRDC.000122
53.41860149999985,14.549815499999793;"{""coordinates"": [14.549815499999793, 53.41860149999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:6c1f2570-ad2d-4f6d-9ad7-eb4657cbfe;2015-10-26;AQ125;PL;15;Szczecin Główny;N_A;Szczecin Glowny;N_A;POL;N_A;45;N.PL.RAILRDC.000497
52.175753999999834,22.066269999999776;"{""coordinates"": [22.066269999999776, 52.175753999999834], ""type"": ""Point""}";1;_EG.EGM.RailrdC:dd73d1dc-b80c-442a-91ef-abfcc5a519;2015-10-26;AQ125;PL;15;Kotuń;N_A;Kotun;N_A;POL;N_A;45;N.PL.RAILRDC.000731
50.55204549999985,21.158458499999764;"{""coordinates"": [21.158458499999764, 50.55204549999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:e0ff4678-c8f5-4721-8ad2-dc2df1987c;2015-10-26;AQ125;PL;34;Staszów;N_A;Staszow;N_A;POL;N_A;45;N.PL.RAILRDC.000913
45.227572999999836,18.41336549999977;"{""coordinates"": [18.41336549999977, 45.227572999999836], ""type"": ""Point""}";1;_EG.EGM.RailrdC:e73459d9-1c7b-4a66-8ca5-6da04b03bd;2012-01-01;AQ125;HR;0;Strizivojna;N_A;Strizivojna;N_A;HRV;N_A;0;N.HR.RAILRDC.000016
50.14790699999983,-5.06541200000018;"{""coordinates"": [-5.06541200000018, 50.14790699999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:5b49c6a7-72ee-4975-9efd-74abb604e7;2015-10-26;AQ125;GB;31;Falmouth Town Station;N_A;Falmouth Town Station;N_A;ENG;N_A;45;N.GB.RAILRDC.000049
43.01742899999985,-7.555525500000186;"{""coordinates"": [-7.555525500000186, 43.01742899999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:339ff771-681e-4ea9-9e0e-c3b084ba1a;2015-10-26;AQ125;ES;15;Estación FF.CC. de Lugo;N_A;Estacion FF.CC. de Lugo;N_A;SPA;N_A;45;N.ES.RAILRDC.000015
52.22273349999983,21.35158999999979;"{""coordinates"": [21.35158999999979, 52.22273349999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:beca0ba3-3c63-43e3-9281-849429e7b0;2015-10-26;AQ125;PL;15;Halinów;N_A;Halinow;N_A;POL;N_A;26;N.PL.RAILRDC.000718
46.92337999999984,27.56812999999977;"{""coordinates"": [27.56812999999977, 46.92337999999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:7a689ed2-1b29-4ad8-84cc-df041d2d46;2015-10-26;AQ125;RO;15;Scânteia;N_A;Scanteia;N_A;RUM;N_A;45;N.RO.RAILRDC.000331
48.081308999999834,7.345804499999787;"{""coordinates"": [7.345804499999787, 48.081308999999834], ""type"": ""Point""}";1;_EG.EGM.RailrdC:d4d67351-7be3-4e65-82ee-4403f31b33;2015-10-26;AQ125;FR;15;Colmar-Saint-Joseph;N_A;Colmar-Saint-Joseph;N_A;FRE;N_A;26;N.FR.RAILRDC.002456
43.84305999999984,13.024947999999796;"{""coordinates"": [13.024947999999796, 43.84305999999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:b216671f-5d60-4bb8-b913-d1af300f97;2015-10-26;AQ125;IT;15;Fano;N_A;Fano;N_A;ITA;N_A;26;N.IT.RAILRDC.000382
50.670052499999855,18.20659299999977;"{""coordinates"": [18.20659299999977, 50.670052499999855], ""type"": ""Point""}";1;_EG.EGM.RailrdC:d0afc6c2-b6b6-400a-a52f-3a82172514;2015-10-26;AQ125;PL;15;Ozimek;N_A;Ozimek;N_A;POL;N_A;45;N.PL.RAILRDC.000182
45.13582999999985,24.671679999999782;"{""coordinates"": [24.671679999999782, 45.13582999999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:57025444-ae30-4664-aa33-d3773ab8e9;2015-10-26;AQ125;RO;15;Curtea de Argeş;N_A;Curtea de Arges;N_A;RUM;N_A;45;N.RO.RAILRDC.000725
59.59516499999983,15.231784999999775;"{""coordinates"": [15.231784999999775, 59.59516499999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:941ac7b0-897b-4663-92ef-005be44f68;2015-10-26;AQ125;SE;15;Lindesberg;N_A;Lindesberg;N_A;SWE;N_A;45;N.SE.RAILRDC.00069
42.99809649999986,22.835940499999765;"{""coordinates"": [22.835940499999765, 42.99809649999986], ""type"": ""Point""}";1;_EG.EGM.RailrdC:dbc6b4c9-6ddf-4397-997b-ef53336e52;2012-01-01;AQ125;BG;0;Калотина - запад;N_A;Kalotina - zapad;N_A;BUL;N_A;0;N.BG.RAILRDC.000001
38.798669499999846,-9.386183000000187;"{""coordinates"": [-9.386183000000187, 38.798669499999846], ""type"": ""Point""}";1;_EG.EGM.RailrdC:74085b20-c718-4af3-9936-17d98c7fe4;2015-10-26;AQ125;PT;15;Sintra;N_A;Sintra;N_A;POR;N_A;26;N.PT.RAILRDC.000081
53.40552799999983,-2.161071000000191;"{""coordinates"": [-2.161071000000191, 53.40552799999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:5d9466bd-fb08-45c7-a8bd-594a9c8bb0;2015-10-26;AQ125;GB;31;Stockport Station;N_A;Stockport Station;N_A;ENG;N_A;45;N.GB.RAILRDC.000215
52.51226949999983,4.9719569999998035;"{""coordinates"": [4.9719569999998035, 52.51226949999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:a0c327f0-3f57-48c2-9d7b-7aec1295e2;2015-10-26;AQ125;NL;32;Purmerend Overwhere;N_A;Purmerend Overwhere;N_A;DUT;N_A;26;N.NL.RAILRDC.000477
43.92193749999984,4.785818999999805;"{""coordinates"": [4.785818999999805, 43.92193749999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:c714b599-b4b8-4b31-9647-f1b852595a;2015-10-26;AQ125;FR;15;Avignontgv;N_A;Avignontgv;N_A;FRE;N_A;26;N.FR.RAILRDC.000066
55.953633999999816,25.80499099999977;"{""coordinates"": [25.80499099999977, 55.953633999999816], ""type"": ""Point""}";1;_EG.EGM.RailrdC:9115f3d7-44d3-4248-9ea4-7ac6cf08ea;2015-10-26;AQ125;LT;15;Obeliai;N_A;Obeliai;N_A;LIT;N_A;25;N.LT.RAILRDC.000019
50.66702899999984,18.900206499999765;"{""coordinates"": [18.900206499999765, 50.66702899999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:1797c1ef-f251-42c4-a265-2f96efad0f;2015-10-26;AQ125;PL;15;Boronów;N_A;Boronow;N_A;POL;N_A;45;N.PL.RAILRDC.000185
54.10603449999984,22.94395;"{""coordinates"": [22.94395, 54.10603449999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:4cc201b1-172e-4365-8a1d-3efced68de;2015-10-26;AQ125;PL;15;Suwałki;N_A;Suwalki;N_A;POL;N_A;45;N.PL.RAILRDC.000382
48.334212999999835,16.208582999999777;"{""coordinates"": [16.208582999999777, 48.334212999999835], ""type"": ""Point""}";1;_EG.EGM.RailrdC:b7eb86dc-2169-4eaa-b6c2-c33f1011a0;2015-10-26;AQ125;AT;15;Sankt Andrä-Wördern;N_A;Sankt Andrae-Woerdern;N_A;GER;N_A;45;N.AT.RAILRDC.000685
53.57142849999982,-1.179648500000184;"{""coordinates"": [-1.179648500000184, 53.57142849999982], ""type"": ""Point""}";1;_EG.EGM.RailrdC:7dcd9ea2-5e29-4b14-8aa8-9b68084b22;2015-10-26;AQ125;GB;15;Adwick Station;N_A;Adwick Station;N_A;ENG;N_A;45;N.GB.RAILRDC.000739
51.58446349999983,-2.758975000000191;"{""coordinates"": [-2.758975000000191, 51.58446349999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:ca2a4811-adb7-4f2c-977e-5ade53fe31;2015-10-26;AQ125;GB;15;Caldicot Station;N_A;Caldicot Station;N_A;ENG;N_A;45;N.GB.RAILRDC.002404
46.19367499999984,18.951249499999786;"{""coordinates"": [18.951249499999786, 46.19367499999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:096fec51-8bff-4e4b-90e1-9ec069eca0;2015-10-26;AQ125;HU;32;Baja;N_A;Baja;N_A;HUN;N_A;26;N.HU.RAILRDC.000497
51.89158249999982,17.73441699999978;"{""coordinates"": [17.73441699999978, 51.89158249999982], ""type"": ""Point""}";1;_EG.EGM.RailrdC:70ce1519-a779-4750-bb53-f008a6de39;2015-10-26;AQ125;PL;15;Kowalew;N_A;Kowalew;N_A;POL;N_A;26;N.PL.RAILRDC.000148
43.848059999999855,25.42883999999978;"{""coordinates"": [25.42883999999978, 43.848059999999855], ""type"": ""Point""}";1;_EG.EGM.RailrdC:ca077746-c8d0-4b40-83ac-2b8f4993bb;2015-10-26;AQ125;RO;15;Smârdioasa;N_A;Smardioasa;N_A;RUM;N_A;45;N.RO.RAILRDC.001044
42.10239799999985,25.321136499999767;"{""coordinates"": [25.321136499999767, 42.10239799999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:d0d6f05a-6cb4-4b83-a191-d739d0f2a9;2012-01-01;AQ125;BG;0;Караджово;N_A;Karadzhalovo;N_A;BUL;N_A;0;N.BG.RAILRDC.000032
51.88712799999984,10.173775999999776;"{""coordinates"": [10.173775999999776, 51.88712799999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:e54d99e1-0678-468e-856f-55c0e1ad6d;2015-10-26;AQ125;DE;15;Seesen;N_A;Seesen;N_A;GER;N_A;45;N.DE.RAILRDC.002472
51.23189399999983,7.870251999999794;"{""coordinates"": [7.870251999999794, 51.23189399999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:7359ad18-bc87-4ddf-b6e4-231e68242a;2015-10-26;AQ125;DE;15;Plettenberg;N_A;Plettenberg;N_A;GER;N_A;45;N.DE.RAILRDC.007131
63.59543799999983,22.79027749999977;"{""coordinates"": [22.79027749999977, 63.59543799999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:c54fe037-a502-444a-aa7b-f108001cd4;2015-10-26;AQ125;FI;15;Pännäinen;Bennäs;Pannainen;Bennas;FIN;SWE;45;N.FI.RAILRDC.000114
47.836808999999846,12.976250499999793;"{""coordinates"": [12.976250499999793, 47.836808999999846], ""type"": ""Point""}";1;_EG.EGM.RailrdC:2e127e93-af2b-41d4-a030-322f20a643;2015-10-26;AQ125;DE;34;Freilassing;N_A;Freilassing;N_A;GER;N_A;45;N.DE.RAILRDC.002368
